Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Абраменко,Богдан,Олександрович,Чоловіча,1987-10-03,Графік,селище Кілія,"вулиця Перша, буд. 3, Кам'янське, 36108",+380 (20) 157-60-95,okhrimenkookhrim@example.org
Ващук,Роман,Павлович,Чоловіча,1977-02-13,Дантист,місто Зміїв,"вулиця Яблунева, буд. 07 кв. 862, Сторожинець, 85894",693 32 45,stkachenko@example.net
Ейбоженко,Панас,Олександрович,Чоловіча,1975-10-11,Няня,селище Бахмач,"вулиця 3-тя Суворовська, буд. 652, Теплодар, 32600",068 184 74 61,ada50@example.net
Килимник,Богуслав,Андрійович,Чоловіча,1952-12-16,Дантист,село Угнів,"вулиця Івана Франка, буд. 615 кв. 92, Новомиргород, 93532",+380 52 679-09-38,varfolomiiandrusenko@example.net
Архипенко,Болеслав,Петрович,Чоловіча,1965-08-06,Штукатур,село Дубляни,"шосе Ланжерон, буд. 34, Новомосковськ, 69768",+380 (30) 998-05-35,stefanmiroshnychenko@example.org
Баранник,Вʼячеслав,Іванович,Чоловіча,1970-05-15,Єгер,хутір Берестечко,"сквер Теліги Олени, буд. 0, Почаїв, 54606",+380 (61) 420-55-67,bashpolchenkodemian@example.net
Оліфіренко,Ростислав,Іванович,Чоловіча,1940-08-18,Фольклорист,селище Сімферополь,"провулок Морехідний, буд. 7 кв. 9, Старобільськ, 58774",041 925 17 06,vlasiuktetiana@example.com
Андрієнко,Андрій,Анатолійович,Чоловіча,1948-08-22,Випробувач,місто Рівне,"парк Івахненка Петра, буд. 55, Дубно, 57546",+380 61 166-42-52,vashchenko-zakharchenkoavrelii@example.com
Чайка,Соломон,Володимирович,Чоловіча,2007-08-15,Гицель,селище Фастів,"проспект Італійський, буд. 524, Кипуче, 24457",097 312 49 17,okonoplenko@example.net
Рудько,Варфоломій,Павлович,Чоловіча,1960-02-20,Композитор,хутір Привілля,"проспект 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 64, Гірник , 04361",047 527 81 01,prymachenkofeofan@example.org
Дрозденко,Лесь,Володимирович,Чоловіча,1993-10-04,Музикознавець,місто Середина-Буда,"провулок Лугова, буд. 4, Могилів-Подільський, 86962",+380 (31) 010-86-09,liubovholoborodko@example.net
Кармалюк,Євген,Олександрович,Чоловіча,1947-11-11,Етнограф,місто Олександрія,"площа Ясна, буд. 6, Нова Каховка, 78672",077 886-66-11,makohonroman@example.com
Удовиченко,Данило,Іванович,Чоловіча,2003-04-02,Письменник,село Дубровиця,"проспект Латвійський узвіз, буд. 717 кв. 5, Берегове, 47839",058 739 27 93,iazhazha@example.com
Дейнека,Богодар,Петрович,Чоловіча,1946-10-07,Кінорежисер,селище Стебник,"набережна Садова 3-тя, буд. 21, Новомиргород, 54093",435-53-92,iakymenkoandrii@example.org
Зарудна,Петро,Юрійович,Чоловіча,2001-08-11,Реабілітолог,село Іршава,"проспект Соляний 2-й, буд. 6 кв. 19, Ужгород, 27915",082 556 67 85,sviatoslav60@example.net
Каденюк,Зиновій,Юрійович,Чоловіча,2000-12-24,Каскадер,селище Канів,"сквер Аеропортівський 4-й, буд. 597, Корюківка, 70275",+380 42 023-43-37,kmykhailiuk@example.org
Швачка,Павло,Петрович,Чоловіча,1968-08-10,Фермер,місто Олександрівськ,"провулок Чорноморський 7-й, буд. 12, Брянка, 82622",038 168 68 06,ymishchenko@example.net
Захарченко,Едуард,Іванович,Чоловіча,1966-12-19,Мистецтвознавець,місто Подільськ,"парк Отамана Чепіги, буд. 64 кв. 923, Фастів, 77860",889-12-33,iefrem67@example.org
Акуленко,Климент,Сергійович,Чоловіча,1946-08-08,Дизайнер,місто Новий Розділ,"набережна Амурська, буд. 69, Славута, 26588",+380 98 564 06 41,mykytaoliinyk@example.com
Вергун,Адам,Михайлович,Чоловіча,2008-09-16,Соціолог,місто Калуш,"сквер Юрія Олеші, буд. 50, Обухів, 47803",+380 07 664 37 67,okhrymovychleopold@example.net
Рябченко,Амвросій,Юрійович,Чоловіча,1991-01-28,Бізнесмен,селище Косів,"провулок Лінія 33-тя, буд. 52 кв. 90, Южноукраїнськ, 07750",795 88 12,danylchukanita@example.com
Шевченко,Теодор,Михайлович,Чоловіча,1942-09-27,Ді-джей,хутір Новояворівськ,"сквер Золотий берег, буд. 2, Борзна, 31452",+380 91 323-19-52,orysiaiurchyshyn@example.com
Жук,Мартин,Анатолійович,Чоловіча,1966-04-08,Доцент,місто Бершадь,"проспект Маячний, буд. 98 кв. 27, Дружківка, 07874",+380 62 169-00-81,borys14@example.com
Черненко,Ігнат,Анатолійович,Чоловіча,1967-03-19,Кінолог,селище Христинівка,"площа Поїзна, буд. 251 кв. 14, Тлумач, 53008",082 733 73 32,iaremchuktrokhym@example.org
Євтушенко,Євген,Павлович,Чоловіча,1967-02-05,Локсмайстер,місто Берегове,"провулок Андрійця Олега, буд. 40 кв. 82, Комарно, 22659",092 581 95 45,skhmara@example.net
Атаманчук,Ярослав,Іванович,Чоловіча,1965-06-03,Конструктор,селище Мирноград,"вулиця Дачна, буд. 09, Світлодарськ, 52692",+380 (36) 533-34-30,anastasiiaandriishyna@example.org
Ісаєнко,Зорян,Петрович,Чоловіча,1958-05-23,Няня,хутір Інкерман,"шосе Чапаєва, буд. 936 кв. 022, Українськ, 93422",882-43-79,halynahaidamaka@example.com
Лавренко,Михайло,Петрович,Чоловіча,1943-11-03,Геолог,селище Вишгород,"узвіз Ламаний, буд. 7, Погребище, 93417",066 831 58 34,stsushko@example.org
Бевз,Ростислав,Павлович,Чоловіча,1955-07-31,Слідчий,хутір Ялта,"набережна Авіаторів, буд. 181, Сулимівка (Слов'янськ), 70715",838-96-29,zzakharenko@example.org
Макогон,Борис,Сергійович,Чоловіча,1968-03-25,Державний службовець,місто Яготин,"площа Косий, буд. 9 кв. 6, Охтирка, 25126",002 379-74-82,bohuslava70@example.net
Гупало,Антон,Юрійович,Чоловіча,1993-10-22,Лікар,місто Ватутіне,"шосе Асташкіна, буд. 191, Мар'їнка, 29877",+380 88 949-98-50,danbhydenko@example.net
Лаба,Пантелеймон,Іванович,Чоловіча,1987-07-15,Композитор,місто Турка,"шосе Романтиків, буд. 10, Радивилів, 92176",053 268-74-17,romanavdieienko@example.net
Колісниченко,Федір,Олександрович,Чоловіча,1973-12-27,Ґрунтознавець,село Кипуче,"набережна Стамбульський, буд. 49 кв. 857, Ковель, 60201",058 572-17-71,briabovil@example.org
Данькевич,Зорян,Анатолійович,Чоловіча,2000-01-14,Гірник,село Красногорівка,"сквер Плієва, буд. 101, Монастириська, 12270",+380 49 030-32-26,ielysaveta78@example.com
Масоха,Костянтин,Олександрович,Чоловіча,1972-08-22,Кінорежисер,місто Жидачів,"парк Штабний, буд. 6, Дебальцеве, 66351",+380 08 858-25-88,omelianieresko@example.com
